2015/12/15	0001	Los Angeles	8100001	125555	Pipe	16.25	10
2015/12/15	0001	Los Angeles	8100001	125556	Pipe	16.25	10
2015/12/15	0001	Los Angeles	8100002	125557	Nut	20.35	5
2015/12/16	0001	Los Angeles	8100003	125558	Bolt	24.45	5
2015/12/17	0001	Los Angeles	8100004	125559	Pipe	28.55	3
2015/12/18	0001	Los Angeles	8100005	125560	Nut	32.65	3
2015/12/19	0001	Los Angeles	8100006	125561	Bolt	36.75	4
2015/12/20	0001	Los Angeles	8100007	125562	Pipe	40.85	5000
2015/12/21	0001	Los Angeles	8100008	125563	Nut	44.95	5

